AGENCIA,VENTANILLA,TIPO,NRO,GENERADO,ASIGNADO,_INICIO_ATENCION,_FIN_ATENCION
AGENCIA_CAMACHO,5,C,C9,09:27:30,09:34:42,09:34:50,09:50:43
AGENCIA_CAMACHO,5,C,C15,09:46:02,09:50:43,09:50:57,09:52:07
AGENCIA_CAMACHO,5,C,C17,09:49:59,09:52:08,09:54:10,09:54:14
AGENCIA_CAMACHO,5,C,C19,09:51:44,09:54:16,09:54:20,09:54:57
AGENCIA_CAMACHO,5,C,C21,09:53:02,09:55:02,09:55:07,09:55:40
AGENCIA_CAMACHO,5,C,C22,09:54:06,09:55:42,10:13:52,10:13:53
AGENCIA_CAMACHO,5,C,C31,10:14:22,10:16:19,10:16:22,11:06:09
AGENCIA_CAMACHO,5,C,C59,11:38:26,11:41:14,11:41:28,11:42:47
AGENCIA_CAMACHO,5,C,C63,11:44:39,11:44:41,11:44:56,11:48:15
AGENCIA_CAMACHO,5,C,C68,11:55:31,11:57:27,11:57:33,11:59:02
AGENCIA_CAMACHO,5,C,C69,11:57:49,12:00:39,12:00:48,12:01:32
AGENCIA_CAMACHO,5,C,C70,12:10:08,12:10:09,12:12:04,12:13:26
AGENCIA_CAMACHO,5,C,C74,12:27:06,12:32:10,12:32:14,12:35:08
AGENCIA_CAMACHO,5,C,C78,12:33:48,12:35:08,12:35:20,12:35:42
AGENCIA_CAMACHO,5,C,C82,12:41:02,12:41:31,12:42:41,12:45:18
AGENCIA_CAMACHO,5,C,C89,12:56:23,12:56:23,12:56:43,14:36:03
AGENCIA_CAMACHO,3,C,C2,09:09:07,09:09:07,09:10:22,09:12:31
AGENCIA_CAMACHO,3,C,C3,09:11:09,09:12:34,09:12:36,09:12:52
AGENCIA_CAMACHO,3,C,C6,09:23:09,09:23:15,09:23:21,09:35:13
AGENCIA_CAMACHO,3,C,C10,09:31:27,09:35:15,09:35:35,09:35:35
AGENCIA_CAMACHO,3,C,C11,09:37:08,09:47:05,09:47:12,09:48:40
AGENCIA_CAMACHO,3,C,C12,09:42:04,09:48:41,09:49:00,09:49:39
AGENCIA_CAMACHO,3,C,C13,09:44:18,09:49:40,09:50:01,09:50:02
AGENCIA_CAMACHO,3,C,C14,09:45:41,09:50:02,09:50:12,09:51:07
AGENCIA_CAMACHO,3,C,C16,09:48:02,09:51:09,09:51:22,09:54:57
